# ADR90 WP-A2 END-OF-RUN plastic field, build 87b9cf846aa6e75f96d620f24a15b24ba4503a52 (expected 87b9cf846aa6e75f96d620f24a15b24ba4503a52), leg h1.0_e0.6944, s/B=0.075940, mode BUDGET
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4626081,-17.706199,7.07478378,4.58760194,16.2281459,6.83710321e-05,0.855053698
2,-26.4626081,-13.6329249,7.07478378,3.55894634,12.5893879,0.000207613101,0.855053698
3,-26.4626081,-10.4729811,7.07478378,2.76094116,9.76653089,0.000342330193,0.855053698
4,-26.4626081,-8.02157615,7.07478378,2.1418688,7.57662931,0.000446957282,0.855053698
5,-26.4626081,-6.11983775,7.07478378,1.66160801,5.87775869,0.000526953994,0.855053698
6,-26.4626081,-4.64451687,7.07478378,1.28903375,4.55981753,0.000589519015,0.855053698
7,-26.4626081,-3.5,7.07478378,1,3.53739189,0.000640527188,0.855053698
8,-26.4626081,-2.5,7.07478378,1,3.53739189,0.000692175092,0.855053698
9,-26.4626081,-1.5,7.07478378,1,3.53739189,0.000745420701,0.855053698
10,-26.4626081,-0.5,7.07478378,1,3.53739189,0.000806372652,0.855053698
11,-20.1552847,-17.706199,5.539863,4.58760194,12.7073431,0.000209332638,0.855053698
12,-20.1552847,-13.6329249,5.539863,3.55894634,9.85803758,0.000357309726,0.855053698
13,-20.1552847,-10.4729811,5.539863,2.76094116,7.64761791,0.000479631574,0.855053698
14,-20.1552847,-8.02157615,5.539863,2.1418688,5.93282985,0.000570035178,0.855053698
15,-20.1552847,-6.11983775,5.539863,1.66160801,4.60254036,0.000628792803,0.855053698
16,-20.1552847,-4.64451687,5.539863,1.28903375,3.57053519,0.000666536576,0.855053698
17,-20.1552847,-3.5,5.539863,1,2.7699315,0.000690221523,0.855053698
18,-20.1552847,-2.5,5.539863,1,2.7699315,0.000721133375,0.855053698
19,-20.1552847,-1.5,5.539863,1,2.7699315,0.000746156755,0.855053698
20,-20.1552847,-0.5,5.539863,1,2.7699315,0.000796917757,0.855053698
21,-15.2163765,-17.706199,4.33795336,4.58760194,9.95040164,0.000392110087,0.855053698
22,-15.2163765,-13.6329249,4.33795336,3.55894634,7.71927162,0.000563049659,0.855053698
